good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
7204,11209,64.3,1.5173,1.3727
7204,11209,64.3,1.5173,1.3727
7198,11178,64.4,1.5058,1.3709
7172,11079,64.7,1.491,1.3582
7144,10966,65.1,1.5513,1.4012
7144,10966,65.1,1.5513,1.4012
7214,11418,63.2,1.584,1.4464
7217,11708,61.6,1.6046,1.4641
7232,12095,59.8,1.6248,1.4811
7232,12095,59.8,1.6248,1.4811
7255,12381,58.6,1.6625,1.4852
7393,13032,56.7,1.7085,1.5521
7409,13758,53.9,1.7589,1.605
7409,13758,53.9,1.7589,1.605
7511,14087,53.3,1.8024,1.6366
7591,14349,52.9,1.8047,1.645
7569,14346,52.8,1.7886,1.627
7523,14277,52.7,1.7636,1.6
7523,14277,52.7,1.7636,1.6
7519,14162,53.1,1.7194,1.5256
7485,13925,53.8,1.6756,1.5217
7324,13136,55.8,1.6738,1.518
7324,13136,55.8,1.6738,1.518
7318,13121,55.8,1.6917,1.5226
7401,13488,54.9,1.7142,1.5612
7361,13790,53.4,1.7323,1.5771
7451,13959,53.4,1.7249,1.5712
7451,13959,53.4,1.7249,1.5712
7397,13807,53.6,1.6756,1.5547
7226,12928,55.9,1.6657,1.5125
7295,13003,56.1,1.6235,1.4715
7266,12522,58.0,1.526,1.3924
7266,12522,58.0,1.526,1.3924
7140,11229,63.6,1.4402,1.3067
6989,10577,66.1,1.4139,1.2753
6937,10411,66.6,1.4091,1.2768
6937,10411,66.6,1.4091,1.2768
6905,10319,66.9,1.3963,1.2741
6816,10163,67.1,1.4604,1.3258
7032,10761,65.3,1.4842,1.3533
7032,10761,65.3,1.4842,1.3533
7047,10900,64.7,1.5217,1.3892
7102,11050,64.3,1.5283,1.3859
7122,11056,64.4,1.5444,1.393
7122,11056,64.4,1.5444,1.393
7144,11282,63.3,1.5576,1.4157
7139,11341,62.9,1.5605,1.4244
7134,11310,63.1,1.5169,1.4404
7134,11310,63.1,1.5169,1.4404
6958,10888,63.9,1.5265,1.3747
7081,11038,64.2,1.5353,1.3998
7081,11038,64.2,1.5353,1.3998
7095,11054,64.2,1.5011,1.3862
7020,10985,63.9,1.5069,1.3717
7050,10884,64.8,1.4757,1.359
7050,10884,64.8,1.4757,1.359
6959,10707,65.0,1.4587,1.3239
6989,10670,65.5,1.4427,1.3133
6948,10536,65.9,1.4407,1.3161
6948,10536,65.9,1.4407,1.3161
6897,10486,65.8,1.431,1.3016
6838,10306,66.3,1.4081,1.2761
6838,10306,66.3,1.4081,1.2761
6860,10337,66.4,1.3853,1.2589
6657,9911,67.2,1.3574,1.2419
6508,9508,68.4,1.341,1.2131
6454,9378,68.8,1.3394,1.2154
6454,9378,68.8,1.3394,1.2154
6442,9354,68.9,1.3259,1.2064
6308,9069,69.6,1.3462,1.2176
6493,9470,68.6,1.3937,1.2684
6493,9470,68.6,1.3937,1.2684
6709,10046,66.8,1.4097,1.2895
6745,10133,66.6,1.4757,1.3377
6983,10761,64.9,1.4762,1.393
6983,10761,64.9,1.4762,1.393
6836,10512,65.0,1.5382,1.3913
7069,11064,63.9,1.5715,1.4246
7025,11182,62.8,1.5829,1.4407
7025,11182,62.8,1.5829,1.4407
7016,11305,62.1,1.5648,1.4548
6935,10982,63.1,1.5614,1.424
7027,11125,63.2,1.5372,1.3977
7027,11125,63.2,1.5372,1.3977
7001,11048,63.4,1.4889,1.3492
6950,10766,64.6,1.4249,1.3397
6679,10141,65.9,1.406,1.2729
6679,10141,65.9,1.406,1.2729
6662,10035,66.4,1.4027,1.2732
6647,9993,66.5,1.3639,1.2529
6357,9427,67.4,1.3824,1.2479
6357,9427,67.4,1.3824,1.2479
6556,9807,66.9,1.3635,1.2826
6282,9304,67.5,1.3774,1.2535
6412,9509,67.4,1.397,1.2536
6412,9509,67.4,1.397,1.2536
6639,9992,66.4,1.4371,1.3015
6775,10270,66.0,1.5155,1.3665
6949,10875,63.9,1.5536,1.4161
6949,10875,63.9,1.5536,1.4161
6945,11026,63.0,1.5974,1.4617
7010,11882,59.0,1.6584,1.5006
7110,12642,56.2,1.694,1.5547
7110,12642,56.2,1.694,1.5547
7148,13557,52.7,1.6974,1.5592
7159,13630,52.5,1.6888,1.5365
7150,13243,54.0,1.6327,1.5325
7150,13243,54.0,1.6327,1.5325
6941,12132,57.2,1.5868,1.4827
6905,11446,60.3,1.5306,1.4333
6834,10839,63.1,1.4716,1.3314
6834,10839,63.1,1.4716,1.3314
6844,10535,65.0,1.4602,1.3205
6795,10480,64.8,1.4914,1.3499
6861,10669,64.3,1.5064,1.3704
6861,10669,64.3,1.5064,1.3704
6878,10768,63.9,1.5369,1.3585
7009,11024,63.6,1.4909,1.4111
6891,11000,62.6,1.5454,1.4016
6891,11000,62.6,1.5454,1.4016
6899,11159,61.8,1.5584,1.4223
6926,11345,61.0,1.5509,1.4295
6907,11095,62.3,1.5279,1.4335
6907,11095,62.3,1.5279,1.4335
6766,10725,63.1,1.5314,1.3593
6946,11032,63.0,1.4961,1.3582
6823,10778,63.3,1.5004,1.3555
6823,10778,63.3,1.5004,1.3555
6844,10841,63.1,1.5067,1.3721
6823,10825,63.0,1.5035,1.3726
6808,10790,63.1,1.4855,1.3567
6821,10596,64.4,1.4807,1.3362
6821,10596,64.4,1.4807,1.3362
6847,10592,64.6,1.4519,1.3247
6787,10395,65.3,1.4009,1.2767
6673,10084,66.2,1.4498,1.3167
6673,10084,66.2,1.4498,1.3167
6765,10381,65.2,1.4682,1.3356
6758,10510,64.3,1.459,1.3479
6689,10331,64.7,1.4906,1.3637
6689,10331,64.7,1.4906,1.3637
6804,10701,63.6,1.5153,1.3671
6885,11157,61.7,1.5915,1.4453
6885,11157,61.7,1.5915,1.4453
6946,11466,60.6,1.5768,1.4514
6852,11029,62.1,1.5749,1.4354
