good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
3160,3178,99.4,0.0,0.0
3160,3178,99.4,0.0,0.0
3160,3178,99.4,0.0001,0.0
3160,3178,99.4,0.0073,0.0003
3160,3178,99.4,0.0073,0.0003
3204,3220,99.5,0.0304,0.0026
3369,3389,99.4,0.102,0.0054
3369,3389,99.4,0.102,0.0054
3489,3508,99.5,0.149,0.0069
3624,3656,99.1,0.2246,0.0116
3919,3965,98.8,0.245,0.0123
4065,4111,98.9,0.3349,0.0202
4065,4111,98.9,0.3349,0.0202
4400,4449,98.9,0.3808,0.0214
4596,4646,98.9,0.4172,0.0181
4906,4959,98.9,0.442,0.0148
5002,5054,99.0,0.4791,0.0102
5421,5484,98.9,0.5733,-0.0009
5421,5484,98.9,0.5733,-0.0009
5550,5612,98.9,0.6012,-0.0025
5695,5765,98.8,0.6153,-0.0024
5752,5819,98.8,0.6225,-0.0031
5796,5862,98.9,0.6453,0.0
5850,5920,98.8,0.6556,-0.0003
5861,5930,98.8,0.6585,0.0005
5878,5953,98.7,0.6531,0.0001
5918,5991,98.8,0.6597,-0.0003
5931,6002,98.8,0.6618,-0.0002
5896,5966,98.8,0.6575,0.0
5881,5950,98.8,0.6678,0.0001
5881,5950,98.8,0.6678,0.0001
5939,6012,98.8,0.6669,0.0005
5964,6035,98.8,0.6685,-0.0013
5943,6018,98.8,0.6605,-0.0006
5916,5991,98.7,0.6643,0.0
5969,6042,98.8,0.6706,-0.0007
5969,6042,98.8,0.6706,-0.0007
6024,6098,98.8,0.6584,0.0008
5988,6065,98.7,0.6427,0.0021
5959,6039,98.7,0.6437,0.0034
5969,6046,98.7,0.6405,0.0035
5816,5889,98.8,0.6071,0.0081
5816,5889,98.8,0.6071,0.0081
5888,5962,98.8,0.5965,0.013
5900,5978,98.7,0.5849,0.0141
5840,5919,98.7,0.5785,0.0168
5840,5919,98.7,0.5785,0.0168
5776,5848,98.8,0.5768,0.0139
5762,5842,98.6,0.5695,0.0125
5762,5842,98.6,0.5695,0.0125
5763,5839,98.7,0.5541,0.0103
5635,5704,98.8,0.5305,0.0114
5635,5704,98.8,0.5305,0.0114
5638,5705,98.8,0.5201,0.0127
5587,5644,99.0,0.5183,0.0123
5646,5705,99.0,0.5157,0.0084
5646,5705,99.0,0.5157,0.0084
5684,5743,99.0,0.5022,0.0096
5631,5694,98.9,0.5146,0.0094
5715,5780,98.9,0.5144,0.0073
5715,5780,98.9,0.5144,0.0073
5691,5756,98.9,0.5326,0.005
5786,5856,98.8,0.5246,0.0045
5709,5784,98.7,0.5168,0.0002
5709,5784,98.7,0.5168,0.0002
5730,5801,98.8,0.5134,0.0009
5721,5789,98.8,0.5037,0.0009
5694,5767,98.7,0.4907,-0.0001
5694,5767,98.7,0.4907,-0.0001
5685,5759,98.7,0.483,-0.0004
5591,5661,98.8,0.4844,-0.0006
5610,5687,98.6,0.4844,-0.0001
5610,5687,98.6,0.4844,-0.0001
5587,5659,98.7,0.4936,0.0002
5609,5676,98.8,0.4908,-0.001
5607,5677,98.8,0.4875,-0.0007
5590,5656,98.8,0.4897,-0.0012
5590,5656,98.8,0.4897,-0.0012
5588,5658,98.8,0.4816,-0.0003
5573,5645,98.7,0.4781,0.0
5504,5571,98.8,0.4961,-0.0012
5504,5571,98.8,0.4961,-0.0012
5696,5775,98.6,0.5038,0.0005
5711,5789,98.7,0.5138,0.0003
5712,5798,98.5,0.5168,0.0006
5712,5798,98.5,0.5168,0.0006
5677,5762,98.5,0.5139,0.0
5624,5707,98.5,0.519,-0.0002
5624,5707,98.5,0.519,-0.0002
5686,5770,98.5,0.5231,-0.0001
5687,5774,98.5,0.5269,-0.0003
5623,5707,98.5,0.5445,-0.0001
5623,5707,98.5,0.5445,-0.0001
5694,5777,98.6,0.5542,-0.0001
5667,5747,98.6,0.5645,-0.0001
5710,5792,98.6,0.5653,0.0
5710,5792,98.6,0.5653,0.0
5728,5806,98.7,0.5648,0.0006
5676,5750,98.7,0.5673,0.0009
5563,5627,98.9,0.5695,0.0002
5563,5627,98.9,0.5695,0.0002
5635,5699,98.9,0.5634,0.0004
5550,5615,98.8,0.5614,0.0011
5523,5570,99.2,0.5553,-0.0029
5523,5570,99.2,0.5553,-0.0029
5476,5521,99.2,0.5456,-0.0055
5403,5442,99.3,0.5399,359.9879
5326,5369,99.2,0.5303,359.9746
5326,5369,99.2,0.5303,359.9746
5262,5300,99.3,0.5114,359.9661
5212,5252,99.2,0.5007,359.9515
5099,5137,99.3,0.4964,359.9422
4986,5029,99.1,0.486,359.9362
4966,5010,99.1,0.4737,359.909
4966,5010,99.1,0.4737,359.909
4882,4928,99.1,0.4626,359.8896
4773,4819,99.0,0.4544,359.8698
4763,4809,99.0,0.4355,359.8496
4652,4700,99.0,0.4222,359.8268
4562,4605,99.1,0.4066,359.8017
4514,4556,99.1,0.3956,359.7767
4455,4497,99.1,0.3856,359.7636
4420,4502,98.2,0.3762,359.7378
4329,4377,98.9,0.3524,359.7104
4250,4299,98.9,0.3496,359.6954
4232,4299,98.4,0.3347,359.6677
4150,4214,98.5,0.3116,359.6384
3987,4039,98.7,0.29,359.6084
3987,4039,98.7,0.29,359.6084
3871,3925,98.6,0.2812,359.5778
3532,3588,98.4,0.2277,359.5087
3532,3588,98.4,0.2277,359.5087
3380,3440,98.3,0.2086,359.4803
3337,3399,98.2,0.1949,359.4541
3217,3276,98.2,0.1589,359.3984
3217,3276,98.2,0.1589,359.3984
3060,3114,98.3,0.1448,359.3804
2989,3045,98.2,0.1254,359.3652
2852,2908,98.1,0.1089,359.3336
2852,2908,98.1,0.1089,359.3336
2794,2851,98.0,0.0985,359.325
2772,2825,98.1,0.0976,359.3205
2721,2777,98.0,0.0902,359.3221
2721,2777,98.0,0.0902,359.3221
2709,2767,97.9,0.0822,359.3267
2697,2750,98.1,0.0908,359.3393
2702,2756,98.0,0.0946,359.3777
2702,2756,98.0,0.0946,359.3777
2686,2743,97.9,0.1103,359.3967
2791,2845,98.1,0.1454,359.4442
2791,2845,98.1,0.1454,359.4442
2799,2853,98.1,0.1711,359.4929
2870,2922,98.2,0.2012,359.53
2968,3022,98.2,0.2448,359.5874
3186,3238,98.4,0.2582,359.6066
3222,3272,98.5,0.2793,359.6467
3303,3356,98.4,0.299,359.6869
3384,3436,98.5,0.3108,359.7085
3433,3486,98.5,0.3383,359.7525
3509,3561,98.5,0.3689,359.797
3654,3709,98.5,0.3902,359.8397
3816,3873,98.5,0.4163,359.8811
3997,4053,98.6,0.4379,359.923
3997,4053,98.6,0.4379,359.923
4189,4243,98.7,0.4651,359.9803
4366,4422,98.7,0.4687,0.0138
4396,4450,98.8,0.4799,0.0385
4487,4542,98.8,0.4839,0.0604
4267,4328,98.6,0.474,0.0935
4267,4328,98.6,0.474,0.0935
4281,4334,98.8,0.47,0.1094
4307,4360,98.8,0.4642,0.1424
4307,4364,98.7,0.4575,0.1527
4264,4322,98.7,0.4424,0.1722
4225,4274,98.9,0.4194,0.1992
4225,4274,98.9,0.4194,0.1992
4168,4220,98.8,0.4068,0.2141
4133,4182,98.8,0.3722,0.2403
4133,4182,98.8,0.3722,0.2403
4122,4174,98.8,0.3592,0.2504
3995,4044,98.8,0.3268,0.2723
3995,4044,98.8,0.3268,0.2723
3960,4003,98.9,0.3157,0.2791
3810,3831,99.5,0.2889,0.2895
3810,3831,99.5,0.2889,0.2895
3789,3806,99.6,0.2825,0.2876
3759,3771,99.7,0.2807,0.2864
3718,3722,99.9,0.284,0.2686
3718,3722,99.9,0.284,0.2686
3714,3718,99.9,0.2869,0.2585
3698,3702,99.9,0.2902,0.2443
3679,3682,99.9,0.2945,0.2286
3659,3664,99.9,0.3002,0.2106
3654,3658,99.9,0.3117,0.1702
3654,3658,99.9,0.3117,0.1702
3652,3654,99.9,0.3207,0.1465
3659,3666,99.8,0.334,0.1052
3704,3708,99.9,0.3392,0.0916
3705,3708,99.9,0.3503,0.0626
3701,3705,99.9,0.3617,0.0315
3732,3735,99.9,0.3738,-0.0045
3730,3732,99.9,0.3767,359.9799
3710,3712,99.9,0.3817,359.9481
3688,3689,100.0,0.3818,359.9156
3704,3706,99.9,0.3744,359.8526
3704,3706,99.9,0.3744,359.8526
3713,3715,99.9,0.3663,359.82
3700,3703,99.9,0.3479,359.7632
3649,3653,99.9,0.3411,359.7447
