good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
3077,3086,99.7,-0.0001,-0.0002
3069,3078,99.7,-0.0002,-0.0003
3073,3082,99.7,-0.0002,-0.0004
3063,3071,99.7,0.0097,-0.002
3063,3071,99.7,0.0097,-0.002
3132,3143,99.7,0.0393,-0.0045
3412,3426,99.6,0.1202,359.9876
3412,3426,99.6,0.1202,359.9876
3475,3491,99.5,0.1864,359.9818
3753,3779,99.3,0.2114,359.9797
3871,3893,99.4,0.2637,359.9737
4299,4339,99.1,0.3682,359.9602
4299,4339,99.1,0.3682,359.9602
4449,4501,98.8,0.4523,359.9572
4734,4829,98.0,0.4857,359.9564
5188,5320,97.5,0.5554,359.967
5188,5320,97.5,0.5554,359.967
5279,5425,97.3,0.5833,359.9733
5397,5552,97.2,0.5896,359.9763
5450,5616,97.0,0.6121,359.9843
5519,5689,97.0,0.6184,359.9939
5696,5886,96.8,0.6602,0.0018
5696,5886,96.8,0.6602,0.0018
5723,5922,96.6,0.6696,0.0051
5759,5963,96.6,0.6698,0.0054
5759,5963,96.6,0.6698,0.0054
5739,5940,96.6,0.6698,0.0042
5652,5853,96.6,0.658,-0.0026
5652,5853,96.6,0.658,-0.0026
5685,5888,96.6,0.6494,-0.003
5557,5737,96.9,0.6365,359.9932
5557,5737,96.9,0.6365,359.9932
5553,5734,96.8,0.6165,359.9909
5454,5619,97.1,0.6109,359.992
5462,5622,97.2,0.5916,359.9837
5462,5622,97.2,0.5916,359.9837
5354,5499,97.4,0.5902,359.9805
5302,5439,97.5,0.5771,359.9786
5299,5431,97.6,0.5631,359.9615
5299,5431,97.6,0.5631,359.9615
5272,5397,97.7,0.5502,359.9538
5233,5339,98.0,0.5417,359.9485
5216,5327,97.9,0.5407,359.9417
5216,5327,97.9,0.5407,359.9417
5188,5295,98.0,0.5084,359.9361
5077,5178,98.0,0.5128,359.9334
4957,5056,98.0,0.4864,359.9283
4917,5010,98.1,0.4701,359.9273
4917,5010,98.1,0.4701,359.9273
4828,4919,98.2,0.4822,359.9215
4949,5041,98.2,0.4879,359.9163
4909,5002,98.1,0.4713,359.9079
4909,5002,98.1,0.4713,359.9079
4889,4984,98.1,0.466,359.9065
4872,4956,98.3,0.4639,359.9046
4861,4945,98.3,0.46,359.9012
4832,4919,98.2,0.4577,359.8994
4726,4790,98.7,0.4393,359.8935
4753,4818,98.7,0.435,359.8905
4753,4818,98.7,0.435,359.8905
